phix,phiy,betx,bety
0.00E+00,0.00E+00,1.83E+01,3.48E+00
0.00E+00,0.00E+00,1.83E+01,3.48E+00
0.00E+00,0.00E+00,1.83E+01,3.48E+00
0.00E+00,0.00E+00,1.83E+01,3.48E+00
0.00E+00,0.00E+00,1.83E+01,3.48E+00
4.50E-02,1.96E-01,1.85E+01,5.18E+00
4.50E-02,1.96E-01,1.85E+01,5.18E+00
5.93E-02,2.45E-01,1.86E+01,5.86E+00
7.79E-02,2.92E-01,1.49E+01,8.27E+00
9.16E-02,3.11E-01,1.13E+01,1.09E+01
9.16E-02,3.11E-01,1.13E+01,1.09E+01
1.11E-01,3.26E-01,8.17E+00,1.39E+01
1.11E-01,3.26E-01,8.17E+00,1.39E+01
1.22E-01,3.32E-01,6.85E+00,1.55E+01
1.86E-01,3.51E-01,4.01E+00,1.78E+01
2.45E-01,3.63E-01,3.12E+00,1.69E+01
2.48E-01,3.63E-01,3.09E+00,1.68E+01
2.28E+00,5.63E-01,1.79E+00,7.03E+00
2.28E+00,5.65E-01,1.82E+00,6.99E+00
2.34E+00,5.80E-01,2.13E+00,6.59E+00
2.34E+00,5.80E-01,2.13E+00,6.59E+00
2.36E+00,5.90E-01,2.32E+00,6.37E+00
2.42E+00,6.14E-01,2.82E+00,5.86E+00
2.47E+00,6.40E-01,3.40E+00,5.37E+00
2.47E+00,6.40E-01,3.40E+00,5.37E+00
2.63E+00,8.35E-01,7.76E+00,3.21E+00
2.67E+00,9.60E-01,7.88E+00,3.41E+00
2.69E+00,9.87E-01,7.29E+00,3.75E+00
2.71E+00,1.02E+00,6.47E+00,4.28E+00
2.77E+00,1.10E+00,4.65E+00,5.81E+00
2.77E+00,1.10E+00,4.65E+00,5.81E+00
2.83E+00,1.13E+00,3.66E+00,6.96E+00
2.83E+00,1.13E+00,3.66E+00,6.96E+00
2.85E+00,1.14E+00,3.39E+00,7.34E+00
2.90E+00,1.16E+00,2.87E+00,8.13E+00
2.98E+00,1.19E+00,2.24E+00,9.34E+00
2.98E+00,1.19E+00,2.21E+00,9.40E+00
4.88E+00,1.33E+00,2.24E+00,2.53E+01
4.88E+00,1.33E+00,2.26E+00,2.54E+01
4.93E+00,1.33E+00,2.58E+00,2.62E+01
4.93E+00,1.33E+00,2.58E+00,2.62E+01
4.96E+00,1.34E+00,2.90E+00,2.70E+01
5.05E+00,1.35E+00,4.88E+00,2.43E+01
5.08E+00,1.35E+00,6.48E+00,2.08E+01
5.08E+00,1.35E+00,6.48E+00,2.08E+01
5.11E+00,1.37E+00,1.03E+01,1.48E+01
5.14E+00,1.40E+00,1.27E+01,1.20E+01
5.19E+00,1.45E+00,1.27E+01,1.19E+01
5.19E+00,1.45E+00,1.27E+01,1.19E+01
5.23E+00,1.49E+00,1.26E+01,1.19E+01
5.23E+00,1.49E+00,1.26E+01,1.19E+01
5.26E+00,1.53E+00,1.27E+01,1.19E+01
5.26E+00,1.53E+00,1.27E+01,1.19E+01
5.30E+00,1.56E+00,1.27E+01,1.20E+01
5.30E+00,1.56E+00,1.27E+01,1.20E+01
5.32E+00,1.58E+00,1.27E+01,1.20E+01
5.34E+00,1.61E+00,1.03E+01,1.48E+01
5.36E+00,1.62E+00,7.91E+00,1.83E+01
5.36E+00,1.62E+00,7.91E+00,1.83E+01
5.39E+00,1.63E+00,5.77E+00,2.22E+01
5.39E+00,1.63E+00,5.77E+00,2.22E+01
5.41E+00,1.63E+00,4.88E+00,2.43E+01
5.50E+00,1.64E+00,2.90E+00,2.70E+01
5.58E+00,1.65E+00,2.26E+00,2.54E+01
5.58E+00,1.65E+00,2.24E+00,2.53E+01
7.47E+00,1.79E+00,2.21E+00,9.40E+00
7.48E+00,1.79E+00,2.24E+00,9.34E+00
7.52E+00,1.81E+00,2.55E+00,8.71E+00
7.52E+00,1.81E+00,2.55E+00,8.71E+00
7.55E+00,1.81E+00,2.74E+00,8.36E+00
7.59E+00,1.83E+00,3.24E+00,7.55E+00
7.64E+00,1.85E+00,3.80E+00,6.78E+00
7.64E+00,1.85E+00,3.80E+00,6.78E+00
7.78E+00,2.02E+00,7.88E+00,3.41E+00
7.83E+00,2.14E+00,7.76E+00,3.21E+00
7.84E+00,2.17E+00,7.12E+00,3.42E+00
7.87E+00,2.21E+00,6.23E+00,3.77E+00
7.94E+00,2.30E+00,4.29E+00,4.75E+00
7.94E+00,2.30E+00,4.29E+00,4.75E+00
8.00E+00,2.35E+00,3.25E+00,5.48E+00
8.00E+00,2.35E+00,3.25E+00,5.48E+00
8.02E+00,2.36E+00,2.97E+00,5.72E+00
8.08E+00,2.38E+00,2.45E+00,6.22E+00
8.18E+00,2.41E+00,1.82E+00,6.99E+00
8.18E+00,2.42E+00,1.79E+00,7.03E+00
1.02E+01,2.62E+00,3.09E+00,1.68E+01
1.02E+01,2.62E+00,3.12E+00,1.69E+01
1.02E+01,2.62E+00,3.56E+00,1.74E+01
1.02E+01,2.62E+00,3.56E+00,1.74E+01
1.03E+01,2.63E+00,4.01E+00,1.78E+01
1.03E+01,2.65E+00,6.85E+00,1.55E+01
1.04E+01,2.66E+00,9.23E+00,1.28E+01
1.04E+01,2.66E+00,9.23E+00,1.28E+01
1.04E+01,2.69E+00,1.49E+01,8.27E+00
1.04E+01,2.74E+00,1.86E+01,5.86E+00
1.04E+01,2.76E+00,1.85E+01,5.42E+00
1.04E+01,2.76E+00,1.85E+01,5.42E+00
1.05E+01,3.07E+00,1.83E+01,3.05E+00
1.05E+01,3.07E+00,1.83E+01,3.05E+00
1.05E+01,3.25E+00,1.82E+01,2.48E+00
1.06E+01,4.09E+00,1.82E+01,2.48E+00
1.06E+01,4.09E+00,1.82E+01,2.48E+00
1.06E+01,4.27E+00,1.83E+01,3.05E+00
1.06E+01,4.27E+00,1.83E+01,3.05E+00
1.06E+01,4.36E+00,1.83E+01,3.48E+00
1.06E+01,4.36E+00,1.83E+01,3.48E+00
1.07E+01,4.56E+00,1.85E+01,5.18E+00
1.07E+01,4.56E+00,1.85E+01,5.18E+00
1.07E+01,4.60E+00,1.86E+01,5.86E+00
1.07E+01,4.65E+00,1.49E+01,8.27E+00
1.07E+01,4.67E+00,1.14E+01,1.08E+01
1.07E+01,4.67E+00,1.14E+01,1.08E+01
1.08E+01,4.68E+00,8.17E+00,1.39E+01
1.08E+01,4.68E+00,8.17E+00,1.39E+01
1.08E+01,4.69E+00,6.85E+00,1.55E+01
1.08E+01,4.71E+00,4.01E+00,1.78E+01
1.09E+01,4.72E+00,3.12E+00,1.69E+01
1.09E+01,4.72E+00,3.08E+00,1.68E+01
1.29E+01,4.92E+00,1.79E+00,7.03E+00
1.29E+01,4.92E+00,1.82E+00,6.99E+00
1.30E+01,4.94E+00,2.13E+00,6.59E+00
1.30E+01,4.94E+00,2.13E+00,6.59E+00
1.30E+01,4.95E+00,2.32E+00,6.37E+00
1.31E+01,4.97E+00,2.82E+00,5.86E+00
1.31E+01,5.00E+00,3.40E+00,5.37E+00
1.31E+01,5.00E+00,3.40E+00,5.37E+00
1.33E+01,5.19E+00,7.76E+00,3.21E+00
1.33E+01,5.32E+00,7.88E+00,3.41E+00
1.33E+01,5.35E+00,7.29E+00,3.75E+00
1.34E+01,5.38E+00,6.47E+00,4.28E+00
1.34E+01,5.45E+00,4.65E+00,5.81E+00
1.34E+01,5.45E+00,4.65E+00,5.81E+00
1.35E+01,5.49E+00,3.66E+00,6.96E+00
1.35E+01,5.49E+00,3.66E+00,6.96E+00
1.35E+01,5.50E+00,3.39E+00,7.34E+00
1.35E+01,5.52E+00,2.87E+00,8.13E+00
1.36E+01,5.54E+00,2.24E+00,9.34E+00
1.36E+01,5.55E+00,2.21E+00,9.40E+00
1.55E+01,5.69E+00,2.24E+00,2.53E+01
1.55E+01,5.69E+00,2.26E+00,2.54E+01
1.56E+01,5.69E+00,2.58E+00,2.62E+01
1.56E+01,5.69E+00,2.58E+00,2.62E+01
1.56E+01,5.69E+00,2.90E+00,2.70E+01
1.57E+01,5.71E+00,4.88E+00,2.43E+01
1.57E+01,5.71E+00,6.48E+00,2.08E+01
1.57E+01,5.71E+00,6.48E+00,2.08E+01
1.58E+01,5.73E+00,1.03E+01,1.48E+01
1.58E+01,5.76E+00,1.27E+01,1.20E+01
1.58E+01,5.77E+00,1.27E+01,1.20E+01
1.58E+01,5.77E+00,1.27E+01,1.20E+01
1.58E+01,5.79E+00,1.27E+01,1.19E+01
1.59E+01,5.83E+00,1.26E+01,1.19E+01
1.59E+01,5.85E+00,1.26E+01,1.19E+01
1.59E+01,5.85E+00,1.26E+01,1.19E+01
1.59E+01,5.87E+00,1.27E+01,1.19E+01
1.59E+01,5.91E+00,1.27E+01,1.20E+01
1.60E+01,5.94E+00,1.27E+01,1.20E+01
1.60E+01,5.97E+00,1.03E+01,1.48E+01
1.60E+01,5.98E+00,7.92E+00,1.83E+01
1.60E+01,5.98E+00,7.92E+00,1.83E+01
1.60E+01,5.99E+00,5.77E+00,2.22E+01
1.60E+01,5.99E+00,5.77E+00,2.22E+01
1.61E+01,5.99E+00,4.88E+00,2.43E+01
1.61E+01,6.00E+00,2.90E+00,2.70E+01
1.62E+01,6.01E+00,2.26E+00,2.54E+01
1.62E+01,6.01E+00,2.24E+00,2.53E+01
1.81E+01,6.15E+00,2.21E+00,9.40E+00
1.81E+01,6.15E+00,2.24E+00,9.34E+00
1.82E+01,6.16E+00,2.55E+00,8.71E+00
1.82E+01,6.16E+00,2.55E+00,8.71E+00
1.82E+01,6.17E+00,2.74E+00,8.36E+00
1.82E+01,6.19E+00,3.24E+00,7.55E+00
1.83E+01,6.21E+00,3.80E+00,6.78E+00
1.83E+01,6.21E+00,3.80E+00,6.78E+00
1.84E+01,6.38E+00,7.88E+00,3.41E+00
1.85E+01,6.50E+00,7.76E+00,3.21E+00
1.85E+01,6.53E+00,7.12E+00,3.42E+00
1.85E+01,6.57E+00,6.23E+00,3.77E+00
1.86E+01,6.66E+00,4.29E+00,4.75E+00
1.86E+01,6.66E+00,4.29E+00,4.75E+00
1.86E+01,6.71E+00,3.25E+00,5.48E+00
1.86E+01,6.71E+00,3.25E+00,5.48E+00
1.87E+01,6.72E+00,2.97E+00,5.72E+00
1.87E+01,6.74E+00,2.45E+00,6.22E+00
1.88E+01,6.77E+00,1.82E+00,6.99E+00
1.88E+01,6.78E+00,1.79E+00,7.03E+00
2.09E+01,6.98E+00,3.08E+00,1.68E+01
2.09E+01,6.98E+00,3.12E+00,1.69E+01
2.09E+01,6.98E+00,3.56E+00,1.74E+01
2.09E+01,6.98E+00,3.56E+00,1.74E+01
2.09E+01,6.99E+00,4.01E+00,1.78E+01
2.10E+01,7.01E+00,6.84E+00,1.55E+01
2.10E+01,7.02E+00,9.23E+00,1.28E+01
2.10E+01,7.02E+00,9.23E+00,1.28E+01
2.10E+01,7.05E+00,1.49E+01,8.27E+00
2.10E+01,7.09E+00,1.86E+01,5.86E+00
2.11E+01,7.12E+00,1.85E+01,5.42E+00
2.11E+01,7.12E+00,1.85E+01,5.42E+00
2.11E+01,7.50E+00,1.82E+01,2.77E+00
